"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"09245",1,1,1,1,1,1
"09459",1,1,1,1,1,1
"09505",2,2,2,2,0,1
"09588",5,5,5,5,0,1
"09622",2,2,2,2,0,1
"10001",2.25,1,1,3,2,4
"10002",1,1,0,2,2,3
"10003",0.75,0,0,1,3,4
"10004",0,0,0,0,2,2
"10005",3.5,1,1,6,1,2
"10007",0.5,0,0,1,2,2
"10009",1.5,1,1,1,6,8
"10010",0.48,0,0,1,25,25
"10011",1.1666666666666667,1,1,1,5,6
"10012",2,1,1,1,5,6
"10013",0.5,0,0,1,2,2
"10014",1.4444444444444444,2,1,2,4,9
"10016",1.7,2,1,2,4,10
"10017",3,3,3,3,0,2
"10018",3,3,3,3,0,1
"10019",0.5384615384615384,1,0,1,13,13
"10021",0,0,0,0,4,4
"10022",0.9,1,1,1,9,10
"10023",0.8571428571428571,1,0,2,10,14
"10024",1.380952380952381,1,0,2,15,21
"10025",0.35714285714285715,0,0,1,14,14
"10026",0.75,1,0,1,4,4
"10027",1.1428571428571428,1,0,2,5,7
"10028",0.8571428571428571,1,1,1,7,7
"10029",1.3333333333333333,2,0,2,2,6
"10031",1.25,1,0,1,3,4
"10032",2.7142857142857144,3,2,3,1,7
"10033",1.25,1,1,1,3,4
"10034",1,0,0,2,1,2
"10035",2,2,2,2,0,1
"10036",1,1,1,1,2,2
"10037",0.5,0,0,1,2,2
"10038",1.5,1,1,2,1,2
"10039",0.6666666666666666,0,0,2,2,3
"10040",1.2,1,0,2,3,5
"10065",0.5333333333333333,0,0,1,14,15
"10069",0.5,0,0,1,4,4
"10075",0.5714285714285714,0,0,1,12,14
"10128",0.34782608695652173,0,0,1,23,23
"10280",0,0,0,0,2,2
"10304",0,0,0,0,1,1
"10307",3,3,3,3,0,1
"10312",1.6666666666666667,0,0,5,2,3
"10451",6,0,0,12,1,2
"10453",2,2,2,2,0,2
"10457",1,1,1,1,1,1
"10458",9,9,9,9,0,3
"10460",1,1,1,1,1,1
"10463",1,1,1,1,1,1
"10464",1,1,1,1,3,3
"10465",0,0,0,0,1,1
"10466",1,1,1,1,1,1
"10468",1,1,1,1,2,2
"10472",8.75,11,2,11,0,4
"10473",3,2,2,3,0,4
"10475",1,1,1,1,2,2
"10504",2.6666666666666665,1,1,6,2,3
"10508",0,0,0,0,2,2
"10512",0,0,0,0,2,2
"10514",0.5,0,0,1,4,4
"10520",0,0,0,0,3,3
"10523",0,0,0,0,1,1
"10524",3,3,3,3,0,1
"10536",4,4,4,4,0,1
"10537",0,0,0,0,1,1
"10538",1,1,1,1,3,3
"10543",0.5,0,0,1,2,2
"10546",1,0,0,2,1,2
"10549",1,1,1,1,1,1
"10576",3,3,3,3,0,1
"10580",0.5,0,0,1,4,4
"10583",0.4,0,0,1,5,5
"10595",0,0,0,0,1,1
"10604",0.5,0,0,1,2,2
"10605",1,1,1,1,2,2
"10606",2,2,2,2,0,1
"10702",2,2,2,2,0,3
"10707",4,4,4,4,0,1
"10708",0.5,0,0,1,2,2
"10801",5,5,5,5,0,1
"10803",1,1,1,1,1,1
"10804",1,1,1,1,2,2
"10873",3,3,3,3,0,1
"10901",1,1,1,1,11,11
"10916",3,3,3,3,0,1
"10918",1,1,1,1,1,1
"10920",4,4,4,4,0,1
"10925",3,2,2,4,0,2
"10927",4,4,4,4,0,1
"10932",1,1,1,1,1,1
"10940",0.5,0,0,1,2,2
"10950",1,1,1,1,1,1
"10952",1,1,1,1,1,1
"10968",4,4,4,4,0,1
"10970",1,1,1,1,1,1
"10977",1,1,1,1,1,1
"10983",1,1,1,1,1,1
"10993",2,2,2,2,0,1
"10996",6,6,6,6,0,1
"10997",1,1,1,1,1,1
"11000",0,0,0,0,1,1
"11010",6,6,6,6,0,2
"11020",0,0,0,0,4,4
"11024",1,1,1,1,7,7
"11050",0.6666666666666666,0,0,1,5,6
"11102",1,1,0,2,5,8
"11103",1.5,2,0,2,1,4
"11104",0.875,1,0,1,7,8
"11105",1,1,0,2,4,7
"11106",0.5,0,0,0,3,4
"11109",1,1,1,1,5,5
"11111",2,1,0,5,2,3
"11201",1.5454545454545454,1,0,4,8,11
"11203",1,1,1,1,1,1
"11204",1,1,1,1,1,1
"11205",0,0,0,0,1,1
"11206",1.6666666666666667,2,1,2,1,3
"11207",1.8,2,1,2,2,5
"11208",3,3,3,3,0,1
"11209",0.5,0,0,1,4,4
"11210",0,0,0,0,2,2
"11211",0.7,1,0,1,9,10
"11212",3.5,1,1,6,1,2
"11213",1.631578947368421,1,1,1,15,19
"11215",0.9411764705882353,1,0,2,12,17
"11216",0.75,0,0,1,10,12
"11217",1,1,1,1,5,5
"11218",0,0,0,0,4,4
"11219",3,3,3,3,0,1
